ICB,Classification
1757,Basic Materials
5373,Consumer Services
7537,Utilities
7535,Utilities
3722,Consumer Goods
2713,Industrials
3355,Consumer Goods
8355,Financials
3577,Consumer Goods
3353,Consumer Goods
1353,Basic Materials
1737,Basic Materials
3573,Consumer Goods
1357,Basic Materials
2757,Industrials
6535,Telecommunications
2727,Industrials
587,Oil & Gas
NA,NA Value
3743,Consumer Goods
3533,Consumer Goods
8536,Financials
3763,Consumer Goods
8775,Financials
9572,Technology
2753,Industrials
8633,Financials
533,Oil & Gas
1755,Basic Materials
3765,Consumer Goods
2733,Industrials
2737,Industrials
5371,Consumer Services
5751,Consumer Services
7575,Utilities
537,Oil & Gas
7573,Utilities
2353,Industrials
4533,Health Care
3728,Consumer Goods
5555,Consumer Services
4535,Health Care
2775,Industrials
8532,Financials
5755,Consumer Services
5337,Consumer Services
2777,Industrials
6575,Telecommunications
8995,Financials
5753,Consumer Services
3745,Consumer Goods
3726,Consumer Goods
2791,Industrials
5333,Consumer Services
2357,Industrials
7577,Utilities
3785,Consumer Goods
5377,Consumer Services
573,Oil & Gas
9535,Technology
4573,Health Care
8671,Financials
8674,Financials
8672,Financials
8985,Financials
3767,Consumer Goods
9537,Technology
2795,Industrials
8637,Financials
4537,Health Care
8779,Financials
8773,Financials
8777,Financials
4577,Health Care
8771,Financials
9533,Technology
2797,Industrials
8534,Financials
5757,Consumer Services
5379,Consumer Services
5759,Consumer Services
8673,Financials
1771,Basic Materials
3537,Consumer Goods
583,Oil & Gas
8676,Financials
8675,Financials
3535,Consumer Goods
2723,Industrials
9578,Technology
1753,Basic Materials
3724,Consumer Goods
2773,Industrials
5557,Consumer Services
2779,Industrials
3357,Consumer Goods
5375,Consumer Services
2799,Industrials
9576,Technology
5553,Consumer Services
1775,Basic Materials
2771,Industrials
1733,Basic Materials
1773,Basic Materials
3747,Consumer Goods
577,Oil & Gas
2717,Industrials
1779,Basic Materials
1777,Basic Materials
8575,Financials
2793,Industrials
9574,Technology
8538,Financials